annotation_id,external_id,sequence_id,turn_range,is_calibration,seeker_stance,primary_d2_role,d1_support_type,d3_strategies,stance_mismatch,confidence,notes,coder_id,created_at
96c338a5-e9cd-442d-a1b7-bfbe59d321d0,ESConv_6,75a33208-a941-494d-a71a-c92efed85165,"[2,7)",TRUE,Passive,Reflective Partner,Emotional,Reflection of Feelings; Affirmation and Reassurance,misfit,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:16:40.746937+00:00
a08bcaf5-ba61-4a95-b5ca-dc71c01fb2be,ESConv_0,ebf7dd4d-4933-4c3c-b4b0-4272ca7ba279,"[7,12)",TRUE,Passive,Advisor,Emotional,Question; Reflection of Feelings; Affirmation and Reassurance,misaligned_paradox_risk,3,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T17:49:16.712326+00:00
2c35e5e8-1ec7-4764-996f-cb93e914999f,ESConv_9,52c387cc-17cd-4169-b037-facfe699563f,"[2,7)",TRUE,Passive,None,None,Others,N/A,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:19:56.982586+00:00
be4a3d19-e141-46f8-a51b-947f76b9c68c,ESConv_2,5c55ef68-9635-47a5-a0bd-3dceb60bcb06,"[2,7)",TRUE,Passive,Advisor,Informational,Providing Suggestions; Question,misaligned_paradox_risk,3,Supporter is only asking about needs and trying to provide advice,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T17:54:55.247591+00:00
eea682a7-e286-4c87-9068-23edd422902a,ESConv_3,78bcce09-2954-4b80-938a-3c5f373dee53,"[2,7)",TRUE,Exploratory,Advisor,Emotional,Question; Information; Self-disclosure,mild_misfit,2,Supporter seems to be giving advice on how to handle isolation,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T17:59:58.173524+00:00
10c0dd07-1948-45dd-9094-4cd64937a3e8,ESConv_0,3be93cc8-6e5c-482c-b080-2503d38b0fee,"[2,7)",TRUE,Passive,Reflective Partner,None,Question,misfit,2,"Since this conversation is pretty short and it only inquires about the user, I don't think there's any support time right now because we are not supporting. ",41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-26T18:01:09.766626+00:00
ebe43561-26f4-4658-b65c-f8a5f069a4ab,ESConv_4,310b6798-365a-470c-82c5-d382e86e63f1,"[2,7)",TRUE,Passive,Reflective Partner,Emotional,Question,misfit,3,"Support offered affirmation followed by clarifying questions
",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:07:54.32124+00:00
543307ac-22f3-405e-ba4b-86bb9f810050,ESConv_3,ed7a9f4d-4ed1-4426-a8e5-d2dc5d597fc2,"[7,12)",TRUE,Exploratory,Advisor,Network,Providing Suggestions,mild_misfit,3,strong focus on finding community and support groups,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:11:38.212661+00:00
4e99f353-9c96-4d02-a6b7-7d31b8c636f2,ESConv_5,979d700e-8c28-4a21-ba62-40c9b15298a6,"[2,7)",TRUE,Passive,Advisor,Informational,Question; Affirmation and Reassurance; Providing Suggestions,misaligned_paradox_risk,3,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:13:18.277737+00:00
8bfb06df-6373-4a5c-baef-1a14b97b9ab2,ESConv_6,af7634d3-b1c1-4d60-867d-3cbb15c3cc65,"[7,12)",TRUE,Passive,Advisor,Informational,Information; Providing Suggestions,misaligned_paradox_risk,3,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:17:11.138681+00:00
