external_id,sequence_id,turn_range,coder_id,d1_support_type,primary_d2_role,d3_strategies,stance_mismatch,confidence,notes
ESConv_0,3be93cc8-6e5c-482c-b080-2503d38b0fee,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Emotional,Listener,Question,aligned,3,
ESConv_0,ebf7dd4d-4933-4c3c-b4b0-4272ca7ba279,"[7,12)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Esteem,Listener,Affirmation and Reassurance;Question,aligned,3,
ESConv_2,5c55ef68-9635-47a5-a0bd-3dceb60bcb06,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Informational,Advisor,Providing Suggestions;Question,misaligned_paradox_risk,3,Supporter is only asking about needs and trying to provide advice
ESConv_3,78bcce09-2954-4b80-938a-3c5f373dee53,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Emotional,Advisor,Question;Information;Self-disclosure,mild_misfit,2,Supporter seems to be giving advice on how to handle isolation
ESConv_0,3be93cc8-6e5c-482c-b080-2503d38b0fee,"[2,7)",41f829d6-9b5c-4fac-bfae-340a90fd8b25,None,Reflective Partner,Question,misfit,2,"Since this conversation is pretty short and it only inquires about the user, I don't think there's any support time right now because we are not supporting. "
ESConv_4,310b6798-365a-470c-82c5-d382e86e63f1,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Emotional,Reflective Partner,Question,misfit,3,"Support offered affirmation followed by clarifying questions
"
ESConv_3,ed7a9f4d-4ed1-4426-a8e5-d2dc5d597fc2,"[7,12)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Network,Advisor,Providing Suggestions,mild_misfit,3,strong focus on finding community and support groups
ESConv_5,d2eded2f-0c0d-4992-b2cf-2ff849ecfe33,"[7,12)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Informational,Navigator,Providing Suggestions;Affirmation and Reassurance;Information,misaligned_paradox_risk,3,a mix of different strategies but feels like they revolve around finding the right solutions
ESConv_5,979d700e-8c28-4a21-ba62-40c9b15298a6,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Informational,Advisor,Question;Affirmation and Reassurance;Providing Suggestions,misaligned_paradox_risk,3,
ESConv_6,75a33208-a941-494d-a71a-c92efed85165,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Emotional,Reflective Partner,Reflection of Feelings;Affirmation and Reassurance,misfit,2,
ESConv_6,af7634d3-b1c1-4d60-867d-3cbb15c3cc65,"[7,12)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Informational,Advisor,Information;Providing Suggestions,misaligned_paradox_risk,3,
ESConv_7,b587e214-5d7f-465f-964e-40e88fd52f82,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,None,None,Others,N/A,2,no support given at this point
ESConv_7,c3401816-b867-47c9-a341-e86b88743589,"[7,12)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Emotional,Listener,Affirmation and Reassurance,misfit,2,
ESConv_8,deea06b4-0980-4a4e-a1c0-3d4d9b49123d,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Informational,Advisor,Providing Suggestions,aligned,2,
ESConv_0,ebf7dd4d-4933-4c3c-b4b0-4272ca7ba279,"[7,12)",41f829d6-9b5c-4fac-bfae-340a90fd8b25,Esteem,Ambiguous,Question;Reflection of Feelings,N/A,1,"For the one support type, it contains multiple like steam, appraisal, and emotional. "
ESConv_9,52c387cc-17cd-4169-b037-facfe699563f,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,None,None,Others,N/A,2,
ESConv_9,4afd4e48-dd58-4a9e-bfc8-a36b17c47750,"[7,12)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Emotional,Listener,Question,aligned,1,Advice given doesn't seem very helpful
ESConv_10,c43e7cef-1059-443d-b09b-4253c63045c9,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,None,None,Others,N/A,2,
ESConv_10,2866f0a4-26da-4441-925f-1afbd7bd7479,"[7,12)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Esteem,Reflective Partner,Restatement/Paraphrasing;Affirmation and Reassurance,misfit,2,
ESConv_11,af618bf3-c71b-44ba-ad0a-89d1a6028940,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Informational,Advisor,Providing Suggestions,misaligned_paradox_risk,2,
ESConv_1,4ff96039-fae0-475a-a046-8d58cb1720da,"[2,7)",41f829d6-9b5c-4fac-bfae-340a90fd8b25,None,Listener,,misfit,3,
ESConv_11,8d7b24fa-9886-4231-b87c-3a1195db00aa,"[7,12)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Esteem,Coach,Affirmation and Reassurance;Question,misaligned,2,Focused on coaching and understanding the seeker's past and building up their self esteem
ESConv_12,0ff86499-9786-4eb1-845d-7293630c67a5,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Emotional,Listener,Affirmation and Reassurance,misfit,2,
ESConv_1,c5e6c09b-0c35-46fa-9215-bbfd9dcb4d28,"[7,12)",41f829d6-9b5c-4fac-bfae-340a90fd8b25,None,Reflective Partner,Question;Restatement/Paraphrasing,mild_misfit,3,The agent is asking the user to confirm the problem. 
ESConv_12,08687149-4e3e-4ebc-8b3a-a3eef500fd72,"[7,12)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Emotional,Listener,Affirmation and Reassurance;Question,misfit,3,
ESConv_13,4187bc51-71af-471c-9909-21d621dac393,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Emotional,Listener,Question;Affirmation and Reassurance,aligned,3,
ESConv_13,8fdf0ab5-8dd0-40d6-ada3-6e096878d421,"[7,12)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Emotional,Listener,Question,aligned,3,
ESConv_14,5bcd60c8-24eb-4af0-93d1-d090b0cb80f3,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Emotional,Listener,Question,aligned,2,
ESConv_2,5c55ef68-9635-47a5-a0bd-3dceb60bcb06,"[2,7)",41f829d6-9b5c-4fac-bfae-340a90fd8b25,Emotional,Reflective Partner,Question;Reflection of Feelings,misfit,3,
ESConv_14,ca101dbe-c08e-4300-850d-7f591108abd0,"[7,12)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Emotional,Advisor,Question;Providing Suggestions,misaligned_paradox_risk,2,
ESConv_15,9ca8ae7d-d106-495a-9f90-e54da5e5fae9,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Informational,Advisor,Providing Suggestions,misaligned_paradox_risk,2,
ESConv_15,851d2036-8f97-481c-8300-25b24c083995,"[7,12)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Informational,Coach,Providing Suggestions;Self-disclosure,misaligned,3,
ESConv_16,07495c58-b7f8-4135-bf45-4f8f3dc2eae9,"[2,7)",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,Emotional,Reflective Partner,Question;Restatement/Paraphrasing,misfit,3,
